Vardas              Pavarde             ND1  ND2  ND3  ND4  ND5  ND6  ND7  ND8  ND9  ND10 Eg.  
Vardas1468          Pavarde1468         7    9    3    1    3    8    7    2    5    10   1    
Vardas1469          Pavarde1469         1    10   10   10   9    7    9    3    5    9    10   
Vardas1470          Pavarde1470         10   7    3    5    5    4    10   1    10   4    1    
Vardas1471          Pavarde1471         3    4    2    9    7    3    8    1    7    4    7    
Vardas1472          Pavarde1472         8    1    9    8    5    8    10   6    10   1    10   
Vardas1473          Pavarde1473         1    3    10   9    6    1    7    2    3    5    10   
Vardas1474          Pavarde1474         1    8    8    4    3    8    10   1    3    10   6    
Vardas1475          Pavarde1475         9    6    5    2    2    5    3    10   2    1    10   
Vardas1476          Pavarde1476         10   1    6    9    6    8    6    8    9    9    9    
Vardas1477          Pavarde1477         2    7    3    6    10   4    4    8    7    2    9    
Vardas1478          Pavarde1478         5    9    2    5    1    2    9    10   6    2    5    
Vardas1479          Pavarde1479         8    3    6    3    9    5    4    4    1    5    3    
Vardas1480          Pavarde1480         1    1    9    9    2    8    10   3    4    3    10   
Vardas1481          Pavarde1481         1    5    6    8    8    2    4    5    1    8    6    
Vardas1482          Pavarde1482         7    3    10   2    3    2    1    1    10   7    8    
Vardas1483          Pavarde1483         5    9    5    4    10   5    1    4    5    10   9    
Vardas1484          Pavarde1484         9    7    4    1    10   2    1    1    9    9    3    
Vardas1485          Pavarde1485         3    3    1    9    2    8    4    3    1    7    5    
Vardas1486          Pavarde1486         9    6    4    6    5    4    2    9    2    2    2    
Vardas1487          Pavarde1487         2    10   9    1    8    4    2    4    9    6    3    
Vardas1488          Pavarde1488         6    10   6    3    9    7    10   8    1    3    6    
Vardas1489          Pavarde1489         10   4    2    6    8    5    9    2    10   10   4    
Vardas1490          Pavarde1490         5    3    5    4    3    8    7    1    1    5    6    
Vardas1491          Pavarde1491         2    1    6    9    8    6    8    1    3    2    2    
Vardas1492          Pavarde1492         3    9    3    1    5    8    8    7    5    3    10   
Vardas1493          Pavarde1493         1    3    4    5    1    5    3    2    10   1    5    
Vardas1494          Pavarde1494         6    7    3    5    1    2    8    8    10   4    5    
Vardas1495          Pavarde1495         10   3    6    9    1    3    1    7    5    8    4    
Vardas1496          Pavarde1496         2    9    8    2    5    7    10   4    3    9    9    
Vardas1497          Pavarde1497         7    9    6    5    3    2    3    3    6    4    5    
Vardas1498          Pavarde1498         7    8    8    4    3    1    3    5    1    5    4    
Vardas1499          Pavarde1499         8    7    4    1    8    5    6    2    3    8    5    
Vardas1500          Pavarde1500         8    4    1    9    8    10   8    7    7    2    2    
Vardas1501          Pavarde1501         5    1    3    3    9    3    1    7    8    8    9    
Vardas1502          Pavarde1502         6    6    10   6    8    9    2    8    5    5    6    
Vardas1503          Pavarde1503         5    6    8    2    5    8    2    8    7    8    4    
Vardas1504          Pavarde1504         5    1    1    3    4    5    9    6    6    4    2    
Vardas1505          Pavarde1505         4    6    10   3    5    6    6    7    5    9    10   
Vardas1506          Pavarde1506         10   3    10   10   10   5    9    4    7    4    10   
Vardas1507          Pavarde1507         6    1    8    7    8    3    2    8    9    7    5    
Vardas1508          Pavarde1508         5    4    1    1    1    7    2    2    9    2    1    
Vardas1509          Pavarde1509         1    8    5    3    9    6    5    10   5    5    4    
Vardas1510          Pavarde1510         7    7    1    1    10   1    4    5    2    1    3    
Vardas1511          Pavarde1511         8    7    9    7    10   9    1    10   2    4    9    
Vardas1512          Pavarde1512         4    9    3    1    7    6    7    9    9    10   9    
Vardas1513          Pavarde1513         2    3    6    3    9    8    3    2    2    6    3    
Vardas1514          Pavarde1514         1    10   3    3    10   7    2    6    1    8    8    
Vardas1515          Pavarde1515         1    5    9    9    1    5    7    10   4    4    9    
Vardas1516          Pavarde1516         9    7    1    4    10   3    4    10   5    5    2    
Vardas1517          Pavarde1517         1    7    2    1    7    2    4    7    10   10   5    
Vardas1518          Pavarde1518         6    8    3    6    3    4    5    10   10   3    4    
Vardas1519          Pavarde1519         4    5    3    6    9    9    8    8    1    4    8    
Vardas1520          Pavarde1520         5    4    9    3    8    10   4    3    6    9    9    
Vardas1521          Pavarde1521         1    1    5    8    7    8    5    6    2    1    1    
Vardas1522          Pavarde1522         5    9    1    9    5    2    10   1    2    4    7    
Vardas1523          Pavarde1523         7    5    5    5    8    10   6    7    10   8    10   
Vardas1524          Pavarde1524         4    3    3    5    9    10   4    10   8    8    10   
Vardas1525          Pavarde1525         1    5    4    1    10   6    1    8    2    5    7    
Vardas1526          Pavarde1526         7    6    4    6    10   2    3    2    5    1    8    
Vardas1527          Pavarde1527         7    8    2    1    1    1    7    6    7    2    7    
Vardas1528          Pavarde1528         5    10   3    9    8    10   3    10   9    5    1    
Vardas1529          Pavarde1529         9    9    10   9    5    7    5    10   1    1    3    
Vardas1530          Pavarde1530         2    2    4    6    3    2    3    2    5    5    6    
Vardas1531          Pavarde1531         7    7    10   6    8    8    6    3    9    8    10   
Vardas1532          Pavarde1532         8    4    9    4    4    4    3    5    7    9    1    
Vardas1533          Pavarde1533         6    9    7    10   2    1    3    6    9    4    6    
Vardas1534          Pavarde1534         4    3    8    3    6    4    6    6    10   4    7    
Vardas1535          Pavarde1535         8    2    8    8    9    5    6    10   8    6    3    
Vardas1536          Pavarde1536         10   10   3    9    7    2    8    1    9    10   5    
Vardas1537          Pavarde1537         9    2    6    2    7    10   8    4    6    6    5    
Vardas1538          Pavarde1538         9    1    7    5    6    9    6    10   9    7    6    
Vardas1539          Pavarde1539         4    8    5    1    6    5    9    2    5    7    1    
Vardas1540          Pavarde1540         3    5    8    5    6    1    5    8    8    6    4    
Vardas1541          Pavarde1541         10   2    4    9    6    4    1    7    9    5    10   
Vardas1542          Pavarde1542         8    10   2    6    7    2    4    3    7    3    10   
Vardas1543          Pavarde1543         10   7    8    5    8    2    2    1    8    2    4    
Vardas1544          Pavarde1544         10   10   5    9    10   10   3    2    5    6    9    
Vardas1545          Pavarde1545         1    8    2    1    7    1    7    1    7    3    2    
Vardas1546          Pavarde1546         10   9    7    9    10   7    2    7    6    1    5    
Vardas1547          Pavarde1547         6    7    5    5    5    5    6    10   6    8    4    
Vardas1548          Pavarde1548         2    6    10   7    6    1    3    6    5    2    8    
Vardas1549          Pavarde1549         5    4    2    1    1    7    3    7    2    10   2    
Vardas1550          Pavarde1550         10   1    6    4    10   10   4    7    9    1    10   
Vardas1551          Pavarde1551         5    4    8    7    3    1    3    6    2    9    6    
Vardas1552          Pavarde1552         5    8    4    4    3    5    10   9    3    4    7    
Vardas1553          Pavarde1553         9    1    6    10   5    8    3    10   3    8    5    
Vardas1554          Pavarde1554         10   5    2    3    10   5    4    2    3    2    1    
Vardas1555          Pavarde1555         3    7    2    6    1    5    5    4    1    3    4    
Vardas1556          Pavarde1556         10   9    8    1    9    4    1    5    10   6    4    
Vardas1557          Pavarde1557         2    1    8    4    3    9    2    6    2    4    1    
Vardas1558          Pavarde1558         1    2    8    1    9    3    9    9    8    9    3    
Vardas1559          Pavarde1559         2    4    5    9    9    8    1    10   10   10   4    
Vardas1560          Pavarde1560         6    3    5    3    7    8    8    10   1    9    2    
Vardas1561          Pavarde1561         6    4    4    2    9    2    4    5    8    8    7    
Vardas1562          Pavarde1562         3    8    3    4    10   7    1    6    6    2    9    
Vardas1563          Pavarde1563         4    9    7    1    9    10   6    4    6    7    5    
Vardas1564          Pavarde1564         2    9    3    10   7    9    2    2    6    2    6    
Vardas1565          Pavarde1565         4    1    9    2    10   6    3    10   8    6    9    
Vardas1566          Pavarde1566         1    6    5    10   10   6    5    8    9    4    9    
Vardas1567          Pavarde1567         6    10   8    7    1    8    5    5    8    8    3    
Vardas1568          Pavarde1568         3    5    2    8    9    7    7    9    4    10   3    
Vardas1569          Pavarde1569         1    8    1    9    5    10   3    7    4    2    8    
Vardas1570          Pavarde1570         8    10   6    8    3    8    5    5    6    2    5    
Vardas1571          Pavarde1571         7    7    1    1    6    1    1    7    7    10   6    
Vardas1572          Pavarde1572         1    8    3    2    3    8    2    5    9    4    2    
Vardas1573          Pavarde1573         1    9    6    3    10   2    5    4    6    3    10   
Vardas1574          Pavarde1574         7    9    8    10   1    7    10   7    4    10   10   
Vardas1575          Pavarde1575         2    2    9    10   3    6    3    9    5    3    10   
Vardas1576          Pavarde1576         7    1    4    3    10   7    5    8    3    1    2    
Vardas1577          Pavarde1577         1    2    6    10   10   8    5    4    4    9    9    
Vardas1578          Pavarde1578         7    8    4    4    4    4    5    3    10   1    4    
Vardas1579          Pavarde1579         5    3    8    1    4    3    10   2    1    4    6    
Vardas1580          Pavarde1580         3    5    6    6    7    9    1    8    2    3    9    
Vardas1581          Pavarde1581         1    1    3    2    6    10   9    1    8    6    6    
Vardas1582          Pavarde1582         10   10   9    9    3    1    8    9    1    10   9    
Vardas1583          Pavarde1583         3    1    4    1    7    2    9    3    7    8    5    
Vardas1584          Pavarde1584         4    7    6    5    3    7    1    4    1    4    3    
Vardas1585          Pavarde1585         3    10   1    1    4    2    2    4    4    9    6    
Vardas1586          Pavarde1586         3    1    5    10   6    6    1    6    8    4    10   
Vardas1587          Pavarde1587         8    9    6    6    7    7    4    7    8    4    3    
Vardas1588          Pavarde1588         4    5    10   9    5    3    3    9    5    8    10   
Vardas1589          Pavarde1589         5    4    1    2    9    3    7    10   2    7    10   
Vardas1590          Pavarde1590         4    6    4    2    10   9    5    1    2    8    6    
Vardas1591          Pavarde1591         4    9    3    1    8    5    9    10   3    7    9    
Vardas1592          Pavarde1592         2    5    3    5    9    2    10   2    9    10   5    
Vardas1593          Pavarde1593         6    5    6    9    7    7    10   2    7    10   7    
Vardas1594          Pavarde1594         8    10   4    1    3    5    1    6    10   2    4    
Vardas1595          Pavarde1595         8    7    9    10   1    3    9    10   3    8    10   
Vardas1596          Pavarde1596         1    1    1    7    9    7    7    2    5    3    2    
Vardas1597          Pavarde1597         7    3    10   7    1    10   6    4    8    6    8    
Vardas1598          Pavarde1598         7    1    10   6    2    3    2    5    10   5    4    
Vardas1599          Pavarde1599         4    1    4    8    8    2    1    10   2    7    6    
Vardas1600          Pavarde1600         1    8    1    8    9    7    3    3    6    7    5    
Vardas1601          Pavarde1601         3    1    7    2    8    4    2    7    1    8    3    
Vardas1602          Pavarde1602         8    8    10   6    3    5    3    10   8    6    4    
Vardas1603          Pavarde1603         4    9    5    6    7    9    6    6    3    5    2    
Vardas1604          Pavarde1604         3    8    4    7    9    9    6    3    7    8    5    
Vardas1605          Pavarde1605         3    1    8    4    4    8    9    5    6    7    2    
Vardas1606          Pavarde1606         1    6    1    3    5    10   6    10   6    5    10   
Vardas1607          Pavarde1607         7    3    8    3    6    5    2    9    10   8    4    
Vardas1608          Pavarde1608         7    1    4    3    10   6    5    2    8    2    10   
Vardas1609          Pavarde1609         10   8    9    10   10   10   4    3    5    5    10   
Vardas1610          Pavarde1610         4    1    3    7    6    8    2    7    4    2    3    
Vardas1611          Pavarde1611         6    9    7    8    4    3    7    7    8    1    1    
Vardas1612          Pavarde1612         1    7    6    10   2    10   2    4    6    7    3    
Vardas1613          Pavarde1613         10   3    9    4    10   4    10   4    6    9    2    
Vardas1614          Pavarde1614         10   10   4    1    2    10   2    9    10   8    5    
Vardas1615          Pavarde1615         2    9    5    6    7    3    8    4    3    5    2    
Vardas1616          Pavarde1616         5    2    4    4    2    9    9    2    1    8    10   
Vardas1617          Pavarde1617         3    5    9    3    8    1    2    6    2    8    4    
Vardas1618          Pavarde1618         2    6    5    7    3    9    8    9    9    4    7    
Vardas1619          Pavarde1619         2    2    7    2    4    8    6    8    5    4    5    
Vardas1620          Pavarde1620         1    8    3    7    2    6    9    1    10   8    7    
Vardas1621          Pavarde1621         9    5    2    8    7    8    2    10   8    5    8    
Vardas1622          Pavarde1622         8    6    6    8    4    8    4    6    3    9    10   
Vardas1623          Pavarde1623         9    5    9    3    8    7    6    7    8    5    3    
Vardas1624          Pavarde1624         8    5    5    10   6    2    9    10   10   10   5    
Vardas1625          Pavarde1625         3    2    1    10   10   9    3    5    3    10   2    
Vardas1626          Pavarde1626         3    7    2    9    6    4    7    8    7    10   4    
Vardas1627          Pavarde1627         8    9    4    6    4    3    6    10   5    3    5    
Vardas1628          Pavarde1628         6    4    10   2    3    8    1    5    1    3    8    
Vardas1629          Pavarde1629         8    8    8    8    6    8    1    10   5    3    5    
Vardas1630          Pavarde1630         3    9    2    4    5    6    8    1    5    9    1    
Vardas1631          Pavarde1631         3    1    6    2    9    7    8    3    1    3    10   
Vardas1632          Pavarde1632         7    2    10   2    10   3    5    5    3    5    10   
Vardas1633          Pavarde1633         9    3    8    1    7    7    2    4    5    10   6    
Vardas1634          Pavarde1634         9    8    5    1    4    9    9    10   5    6    6    
Vardas1635          Pavarde1635         10   6    6    6    10   9    8    6    8    3    3    
Vardas1636          Pavarde1636         3    5    8    8    1    3    3    6    7    8    9    
Vardas1637          Pavarde1637         10   9    4    8    1    3    9    5    9    6    6    
Vardas1638          Pavarde1638         9    3    6    5    7    10   9    2    3    6    7    
Vardas1639          Pavarde1639         9    4    3    8    6    7    8    3    9    3    9    
Vardas1640          Pavarde1640         2    8    4    8    10   7    2    9    4    8    8    
Vardas1641          Pavarde1641         10   7    3    7    6    4    4    10   5    3    8    
Vardas1642          Pavarde1642         2    10   8    3    5    4    8    7    4    4    3    
Vardas1643          Pavarde1643         2    5    2    7    3    3    5    1    6    7    5    
Vardas1644          Pavarde1644         6    5    2    4    1    8    1    10   8    4    10   
Vardas1645          Pavarde1645         6    7    1    8    9    4    1    5    10   10   3    
Vardas1646          Pavarde1646         7    5    4    3    4    8    1    1    4    5    1    
Vardas1647          Pavarde1647         3    4    4    4    9    7    1    10   8    7    8    
Vardas1648          Pavarde1648         8    6    4    3    3    1    6    9    9    5    10   
Vardas1649          Pavarde1649         5    1    7    10   8    9    6    7    5    8    3    
Vardas1650          Pavarde1650         1    4    7    1    5    7    1    1    10   4    5    
Vardas1651          Pavarde1651         6    4    1    3    3    6    1    6    6    9    4    
Vardas1652          Pavarde1652         1    7    8    2    10   9    4    1    4    5    8    
Vardas1653          Pavarde1653         7    10   10   10   5    6    7    7    7    9    2    
Vardas1654          Pavarde1654         3    4    10   8    5    5    3    7    4    10   5    
Vardas1655          Pavarde1655         10   9    3    4    6    4    8    4    3    2    3    
Vardas1656          Pavarde1656         7    1    9    6    5    6    9    4    10   9    6    
Vardas1657          Pavarde1657         4    2    8    1    8    2    8    6    5    9    5    
Vardas1658          Pavarde1658         6    1    8    9    2    9    10   8    9    7    10   
Vardas1659          Pavarde1659         2    7    3    7    2    8    2    5    7    4    9    
Vardas1660          Pavarde1660         8    10   9    5    6    1    2    5    10   5    2    
Vardas1661          Pavarde1661         8    4    5    2    10   1    4    1    6    9    7    
Vardas1662          Pavarde1662         5    6    8    6    1    1    10   10   6    5    2    
Vardas1663          Pavarde1663         8    7    5    7    8    1    7    6    8    6    1    
Vardas1664          Pavarde1664         4    3    9    3    1    3    3    3    9    5    7    
Vardas1665          Pavarde1665         9    9    6    6    7    9    9    9    6    4    8    
Vardas1666          Pavarde1666         1    8    2    8    10   6    7    7    1    5    3    
Vardas1667          Pavarde1667         4    7    1    2    1    7    2    2    9    6    1    
Vardas1668          Pavarde1668         6    10   2    7    3    10   5    4    2    5    3    
Vardas1669          Pavarde1669         2    2    6    4    1    3    10   2    3    5    9    
Vardas1670          Pavarde1670         8    9    8    7    2    5    6    1    10   1    7    
Vardas1671          Pavarde1671         5    10   10   6    5    5    7    8    9    8    4    
Vardas1672          Pavarde1672         9    4    2    10   8    3    1    7    7    5    4    
Vardas1673          Pavarde1673         6    1    1    1    2    5    5    3    1    10   2    
Vardas1674          Pavarde1674         2    7    3    8    9    7    6    2    4    7    1    
Vardas1675          Pavarde1675         4    5    3    8    5    1    5    9    7    1    1    
Vardas1676          Pavarde1676         5    1    1    1    1    1    10   10   5    9    6    
Vardas1677          Pavarde1677         4    10   2    1    2    8    5    10   9    6    10   
Vardas1678          Pavarde1678         7    1    5    10   3    5    10   4    4    2    2    
Vardas1679          Pavarde1679         8    1    2    4    7    10   2    5    10   9    1    
Vardas1680          Pavarde1680         8    5    6    4    1    3    10   8    2    3    1    
Vardas1681          Pavarde1681         1    9    6    8    9    2    5    9    3    4    1    
Vardas1682          Pavarde1682         10   5    6    10   3    2    10   10   1    6    5    
Vardas1683          Pavarde1683         9    3    5    10   4    7    5    10   10   10   9    
Vardas1684          Pavarde1684         9    3    1    1    1    4    3    5    4    2    3    
Vardas1685          Pavarde1685         2    10   9    10   3    9    1    5    3    3    9    
Vardas1686          Pavarde1686         2    9    9    8    6    4    10   1    3    6    5    
Vardas1687          Pavarde1687         6    7    1    5    5    3    9    6    7    8    9    
Vardas1688          Pavarde1688         4    4    9    1    4    5    10   10   7    10   3    
Vardas1689          Pavarde1689         1    5    1    10   3    7    4    9    7    10   4    
Vardas1690          Pavarde1690         7    5    10   6    5    3    6    3    4    7    2    
Vardas1691          Pavarde1691         5    3    9    8    4    7    5    8    10   7    6    
Vardas1692          Pavarde1692         2    3    10   4    5    1    9    5    7    9    3    
Vardas1693          Pavarde1693         9    7    2    7    4    4    8    1    1    4    10   
Vardas1694          Pavarde1694         8    6    7    5    1    2    8    3    6    5    2    
Vardas1695          Pavarde1695         1    5    6    5    10   8    2    2    5    6    9    
Vardas1696          Pavarde1696         7    8    7    3    6    6    9    4    8    10   5    
Vardas1697          Pavarde1697         1    5    3    3    1    8    8    3    8    9    6    
Vardas1698          Pavarde1698         8    4    9    2    6    8    1    5    2    5    2    
Vardas1699          Pavarde1699         2    1    2    6    5    10   4    8    6    3    8    
Vardas1700          Pavarde1700         1    10   8    7    2    9    2    3    6    8    7    
Vardas1701          Pavarde1701         10   1    6    6    10   5    7    7    5    5    10   
Vardas1702          Pavarde1702         10   2    8    10   4    9    4    6    5    1    3    
Vardas1703          Pavarde1703         6    3    3    9    6    3    7    3    5    9    7    
Vardas1704          Pavarde1704         2    4    4    3    10   1    10   8    10   8    7    
Vardas1705          Pavarde1705         8    1    2    2    4    4    6    2    3    2    7    
Vardas1706          Pavarde1706         2    8    3    2    5    1    7    8    1    2    4    
Vardas1707          Pavarde1707         8    6    10   9    8    6    5    3    7    10   4    
Vardas1708          Pavarde1708         5    7    3    10   2    2    8    3    10   2    8    
Vardas1709          Pavarde1709         6    8    7    3    7    4    7    10   5    10   7    
Vardas1710          Pavarde1710         1    1    8    8    5    2    8    10   8    4    6    
Vardas1711          Pavarde1711         3    6    1    9    9    4    7    4    7    3    5    
Vardas1712          Pavarde1712         10   1    1    4    3    4    1    7    9    5    6    
Vardas1713          Pavarde1713         3    8    3    3    10   1    10   1    9    3    10   
Vardas1714          Pavarde1714         7    6    1    9    6    8    4    4    5    8    4    
Vardas1715          Pavarde1715         7    7    1    2    10   7    2    7    6    1    4    
Vardas1716          Pavarde1716         7    2    5    4    6    2    5    6    4    3    1    
Vardas1717          Pavarde1717         8    10   10   10   5    2    8    6    8    2    9    
Vardas1718          Pavarde1718         10   8    3    5    1    1    6    5    2    9    3    
Vardas1719          Pavarde1719         7    5    2    10   7    8    2    7    5    7    1    
Vardas1720          Pavarde1720         6    9    1    10   6    2    2    6    10   4    4    
Vardas1721          Pavarde1721         2    10   1    9    1    10   4    4    9    6    2    
Vardas1722          Pavarde1722         2    5    1    4    2    2    10   4    6    2    9    
Vardas1723          Pavarde1723         7    2    8    4    2    2    8    5    10   6    10   
Vardas1724          Pavarde1724         3    3    8    10   9    8    3    2    5    8    1    
Vardas1725          Pavarde1725         9    10   8    6    2    8    10   1    6    9    10   
Vardas1726          Pavarde1726         6    2    9    2    1    8    5    7    7    2    5    
Vardas1727          Pavarde1727         8    10   9    1    7    6    9    4    6    9    1    
Vardas1728          Pavarde1728         10   4    8    8    1    3    7    1    6    6    6    
Vardas1729          Pavarde1729         6    3    7    8    6    2    4    2    1    6    5    
Vardas1730          Pavarde1730         5    9    8    9    9    2    4    8    7    8    3    
Vardas1731          Pavarde1731         10   7    3    6    10   3    4    9    4    2    3    
Vardas1732          Pavarde1732         3    3    1    4    6    5    4    6    2    1    10   
Vardas1733          Pavarde1733         2    9    1    10   6    6    2    2    6    3    6    
Vardas1734          Pavarde1734         8    6    3    9    3    8    6    6    6    1    5    
Vardas1735          Pavarde1735         2    1    8    9    6    10   3    6    3    6    4    
Vardas1736          Pavarde1736         10   7    3    10   4    5    1    6    9    2    5    
Vardas1737          Pavarde1737         5    1    2    4    5    9    6    5    9    4    8    
Vardas1738          Pavarde1738         7    10   9    10   5    4    6    4    7    10   5    
Vardas1739          Pavarde1739         3    10   6    7    7    4    1    6    1    10   5    
Vardas1740          Pavarde1740         7    8    5    1    5    10   9    10   4    8    10   
Vardas1741          Pavarde1741         8    10   7    9    6    4    7    7    3    2    8    
Vardas1742          Pavarde1742         6    7    4    8    2    9    6    2    8    1    1    
Vardas1743          Pavarde1743         5    5    5    4    1    3    8    3    5    3    2    
Vardas1744          Pavarde1744         1    9    5    4    6    5    5    4    7    6    10   
Vardas1745          Pavarde1745         10   10   4    1    5    10   7    10   3    3    4    
Vardas1746          Pavarde1746         9    10   8    6    6    6    6    5    7    5    10   
Vardas1747          Pavarde1747         9    4    9    5    6    3    10   10   5    8    5    
Vardas1748          Pavarde1748         6    6    9    3    8    8    10   2    8    1    4    
Vardas1749          Pavarde1749         1    1    2    4    8    5    4    5    2    9    6    
Vardas1750          Pavarde1750         1    3    5    2    2    9    7    6    3    5    10   
Vardas1751          Pavarde1751         6    1    6    8    9    4    1    8    4    5    5    
Vardas1752          Pavarde1752         4    10   7    5    7    8    3    2    10   4    3    
Vardas1753          Pavarde1753         5    10   3    6    3    4    10   1    3    5    2    
Vardas1754          Pavarde1754         6    3    4    1    1    10   8    8    5    2    7    
Vardas1755          Pavarde1755         1    4    8    8    8    4    5    7    5    3    10   
Vardas1756          Pavarde1756         9    6    9    5    10   9    6    1    1    2    8    
Vardas1757          Pavarde1757         4    2    5    1    7    6    7    9    4    5    2    
Vardas1758          Pavarde1758         5    2    1    1    3    5    8    5    6    2    8    
Vardas1759          Pavarde1759         4    4    4    1    5    7    5    6    4    3    10   
Vardas1760          Pavarde1760         4    8    1    5    5    10   7    10   10   6    1    
Vardas1761          Pavarde1761         1    10   8    7    9    7    2    6    4    7    9    
Vardas1762          Pavarde1762         8    6    2    2    9    4    4    3    6    8    8    
Vardas1763          Pavarde1763         9    10   1    7    9    4    9    1    4    5    1    
Vardas1764          Pavarde1764         3    2    3    6    4    2    2    4    6    1    3    
Vardas1765          Pavarde1765         2    4    6    8    1    7    4    7    6    8    5    
Vardas1766          Pavarde1766         9    4    4    10   5    9    3    10   3    2    10   
Vardas1767          Pavarde1767         8    6    1    1    1    6    1    9    4    9    9    
Vardas1768          Pavarde1768         9    6    7    7    7    6    3    6    7    9    1    
Vardas1769          Pavarde1769         3    10   2    3    9    5    6    9    6    9    3    
Vardas1770          Pavarde1770         9    6    7    1    8    7    10   5    1    9    7    
Vardas1771          Pavarde1771         3    2    3    4    3    8    2    9    6    4    4    
Vardas1772          Pavarde1772         8    9    3    2    8    5    9    9    5    6    6    
Vardas1773          Pavarde1773         1    8    8    5    9    5    4    9    5    5    9    
Vardas1774          Pavarde1774         5    5    2    7    10   10   1    9    7    3    8    
Vardas1775          Pavarde1775         5    8    10   6    1    7    6    4    6    10   6    
Vardas1776          Pavarde1776         8    4    10   6    3    5    10   8    3    10   3    
Vardas1777          Pavarde1777         1    2    1    3    10   4    4    8    9    3    3    
Vardas1778          Pavarde1778         9    6    10   10   2    6    9    9    1    3    5    
Vardas1779          Pavarde1779         6    4    8    10   9    5    6    4    9    4    10   
Vardas1780          Pavarde1780         2    7    7    4    7    7    3    5    10   4    6    
Vardas1781          Pavarde1781         6    8    1    2    4    2    9    9    2    3    9    
Vardas1782          Pavarde1782         10   8    10   3    1    8    2    8    2    7    9    
Vardas1783          Pavarde1783         1    9    10   7    4    7    9    3    10   10   9    
Vardas1784          Pavarde1784         3    3    4    8    4    3    5    1    9    1    6    
Vardas1785          Pavarde1785         5    1    5    3    6    10   5    9    6    2    2    
Vardas1786          Pavarde1786         6    2    4    6    5    6    2    1    6    6    9    
Vardas1787          Pavarde1787         8    8    2    1    7    6    10   6    4    2    8    
Vardas1788          Pavarde1788         9    5    1    9    8    3    2    10   10   10   2    
Vardas1789          Pavarde1789         3    7    6    2    9    3    9    7    9    9    5    
Vardas1790          Pavarde1790         2    3    7    7    1    5    2    7    8    7    10   
Vardas1791          Pavarde1791         2    4    10   10   9    5    8    8    2    4    8    
Vardas1792          Pavarde1792         3    6    1    10   2    4    8    9    1    1    9    
Vardas1793          Pavarde1793         8    3    2    5    5    10   6    7    10   10   6    
Vardas1794          Pavarde1794         10   5    10   8    9    4    4    2    4    4    2    
Vardas1795          Pavarde1795         6    2    6    8    1    2    3    6    3    2    8    
Vardas1796          Pavarde1796         5    6    6    9    8    9    4    6    7    5    10   
Vardas1797          Pavarde1797         3    8    1    4    7    9    6    6    7    5    10   
Vardas1798          Pavarde1798         7    8    4    9    8    3    6    7    5    8    6    
Vardas1799          Pavarde1799         9    6    2    10   3    4    2    2    3    8    2    
Vardas1800          Pavarde1800         7    3    9    8    4    5    9    2    6    9    7    
Vardas1801          Pavarde1801         8    10   6    7    5    10   6    2    4    6    8    
Vardas1802          Pavarde1802         1    8    8    4    10   4    5    5    1    3    9    
Vardas1803          Pavarde1803         3    3    9    3    1    8    3    5    6    10   9    
Vardas1804          Pavarde1804         1    10   2    1    6    2    6    4    2    2    2    
Vardas1805          Pavarde1805         7    2    10   10   9    1    6    6    7    5    10   
Vardas1806          Pavarde1806         9    6    1    2    9    9    1    4    5    1    7    
Vardas1807          Pavarde1807         7    1    7    1    5    9    1    6    9    3    10   
Vardas1808          Pavarde1808         2    2    10   4    3    6    4    7    8    3    2    
Vardas1809          Pavarde1809         8    2    3    3    7    2    8    9    3    6    10   
Vardas1810          Pavarde1810         7    9    9    10   10   2    10   7    2    4    6    
Vardas1811          Pavarde1811         6    9    3    7    7    10   5    10   8    8    6    
Vardas1812          Pavarde1812         6    1    6    7    1    9    7    10   2    7    5    
Vardas1813          Pavarde1813         3    10   7    10   3    7    8    3    4    7    3    
Vardas1814          Pavarde1814         5    3    1    9    8    7    9    1    6    5    1    
Vardas1815          Pavarde1815         4    10   8    4    6    8    8    7    4    2    9    
Vardas1816          Pavarde1816         10   2    10   7    10   10   1    10   9    1    7    
Vardas1817          Pavarde1817         7    6    5    7    10   2    4    8    3    2    8    
Vardas1818          Pavarde1818         4    4    4    6    2    6    9    3    1    9    1    
Vardas1819          Pavarde1819         4    5    4    1    10   6    4    7    8    4    7    
Vardas1820          Pavarde1820         1    7    8    9    8    2    9    9    5    9    1    
Vardas1821          Pavarde1821         6    7    10   6    6    1    6    4    1    6    1    
Vardas1822          Pavarde1822         4    3    3    1    5    8    6    5    7    8    10   
Vardas1823          Pavarde1823         9    8    3    5    5    7    4    7    9    6    7    
Vardas1824          Pavarde1824         5    8    10   1    3    10   10   7    9    5    10   
Vardas1825          Pavarde1825         3    10   3    6    2    10   4    7    7    6    2    
Vardas1826          Pavarde1826         10   2    10   1    5    6    5    9    2    7    2    
Vardas1827          Pavarde1827         10   8    2    6    8    3    3    1    7    3    8    
Vardas1828          Pavarde1828         9    6    2    4    1    3    7    8    5    1    9    
Vardas1829          Pavarde1829         5    1    9    10   2    5    4    5    5    6    8    
Vardas1830          Pavarde1830         7    7    9    9    2    10   4    7    2    7    8    
Vardas1831          Pavarde1831         1    10   6    4    3    8    9    3    8    4    3    
Vardas1832          Pavarde1832         8    10   7    6    7    10   9    2    6    1    2    
Vardas1833          Pavarde1833         9    6    5    5    5    5    4    6    3    8    2    
