Vardas              Pavarde             ND1  ND2  ND3  ND4  ND5  ND6  ND7  ND8  ND9  ND10 
Vardas409           Pavarde409          7    8    1    8    4    9    6    7    5    5    
Vardas410           Pavarde410          10   3    2    7    3    1    7    8    10   8    
Vardas411           Pavarde411          2    8    8    4    5    7    10   5    5    1    
Vardas412           Pavarde412          9    4    10   9    9    5    7    9    3    10   
Vardas413           Pavarde413          6    6    10   4    9    7    3    10   10   3    
Vardas414           Pavarde414          10   9    9    1    5    9    5    10   4    3    
Vardas415           Pavarde415          10   7    10   6    9    6    8    2    3    8    
Vardas416           Pavarde416          2    1    7    4    2    8    8    3    1    3    
Vardas417           Pavarde417          6    4    6    9    4    5    6    4    8    2    
Vardas418           Pavarde418          5    3    3    7    9    4    4    9    9    9    
Vardas419           Pavarde419          8    4    10   8    3    10   1    5    1    5    
Vardas420           Pavarde420          10   6    7    8    6    2    4    6    7    8    
Vardas421           Pavarde421          6    5    6    5    6    5    8    2    1    5    
Vardas422           Pavarde422          2    10   10   7    2    6    5    2    5    3    
Vardas423           Pavarde423          2    9    4    9    9    10   1    5    3    10   
Vardas424           Pavarde424          10   6    3    2    7    8    9    4    6    3    
Vardas425           Pavarde425          2    6    8    10   8    1    9    10   8    4    
Vardas426           Pavarde426          4    9    3    2    4    9    4    9    8    5    
Vardas427           Pavarde427          4    2    5    4    1    10   9    7    4    2    
Vardas428           Pavarde428          10   2    7    5    8    10   4    6    8    10   
Vardas429           Pavarde429          7    6    5    8    6    7    3    9    4    9    
Vardas430           Pavarde430          3    10   3    2    5    6    4    1    8    5    
Vardas431           Pavarde431          9    3    3    1    4    10   9    9    10   3    
Vardas432           Pavarde432          6    4    2    2    3    3    5    1    8    8    
Vardas433           Pavarde433          5    10   1    8    9    2    1    1    2    1    
Vardas434           Pavarde434          3    2    8    2    5    1    4    3    10   1    
Vardas435           Pavarde435          1    5    1    1    10   5    4    2    2    7    
Vardas436           Pavarde436          4    4    4    8    6    6    8    5    6    8    
Vardas437           Pavarde437          1    7    4    2    2    7    3    9    4    1    
Vardas438           Pavarde438          4    9    3    6    6    7    2    5    8    6    
Vardas439           Pavarde439          6    6    5    7    3    10   5    9    4    3    
Vardas440           Pavarde440          5    4    10   1    2    4    7    3    8    1    
Vardas441           Pavarde441          4    10   4    3    4    6    6    10   10   8    
Vardas442           Pavarde442          4    8    1    3    2    3    5    8    10   6    
Vardas443           Pavarde443          1    10   10   1    3    1    8    1    6    7    
Vardas444           Pavarde444          3    10   1    1    7    5    10   10   4    6    
Vardas445           Pavarde445          1    6    2    2    10   3    8    8    1    6    
Vardas446           Pavarde446          10   8    6    7    7    3    2    2    2    7    
Vardas447           Pavarde447          10   6    1    8    9    8    2    7    6    2    
Vardas448           Pavarde448          1    8    7    4    1    1    2    5    2    6    
Vardas449           Pavarde449          1    5    8    7    9    10   5    8    7    2    
Vardas450           Pavarde450          7    1    5    10   2    4    10   1    1    8    
Vardas451           Pavarde451          8    4    10   7    6    4    4    1    1    5    
Vardas452           Pavarde452          6    5    1    4    3    5    2    10   8    2    
Vardas453           Pavarde453          4    5    7    2    5    2    1    3    8    1    
Vardas454           Pavarde454          7    8    6    9    2    1    7    4    8    3    
Vardas455           Pavarde455          9    3    10   3    4    3    8    1    2    5    
Vardas456           Pavarde456          1    3    4    10   3    6    10   5    2    1    
Vardas457           Pavarde457          10   4    9    3    1    5    4    6    8    3    
Vardas458           Pavarde458          4    8    5    6    8    10   5    2    7    6    
Vardas459           Pavarde459          7    5    9    6    2    4    5    6    6    1    
Vardas460           Pavarde460          8    3    10   6    8    8    3    4    7    10   
Vardas461           Pavarde461          4    10   7    2    2    2    8    6    6    8    
Vardas462           Pavarde462          9    6    1    9    5    6    8    7    4    3    
Vardas463           Pavarde463          6    6    1    3    1    5    3    6    6    1    
Vardas464           Pavarde464          7    2    5    1    4    1    2    1    9    3    
Vardas465           Pavarde465          6    7    9    4    10   1    10   6    1    3    
Vardas466           Pavarde466          7    9    10   3    10   6    2    10   3    3    
Vardas467           Pavarde467          4    1    1    4    8    8    3    8    2    2    
Vardas468           Pavarde468          5    1    7    3    4    7    2    5    7    10   
Vardas469           Pavarde469          1    2    3    8    4    6    6    5    5    10   
Vardas470           Pavarde470          5    2    7    2    4    10   9    10   7    8    
Vardas471           Pavarde471          8    2    9    9    9    4    4    9    7    8    
Vardas472           Pavarde472          1    5    10   2    5    7    7    1    9    2    
Vardas473           Pavarde473          6    1    7    6    8    8    3    3    6    3    
Vardas474           Pavarde474          8    2    10   5    3    10   10   5    1    9    
Vardas475           Pavarde475          7    8    10   9    10   4    4    7    5    9    
Vardas476           Pavarde476          4    2    7    5    10   9    10   7    9    8    
Vardas477           Pavarde477          7    3    10   5    6    8    5    8    4    1    
Vardas478           Pavarde478          9    7    5    5    5    6    9    5    9    3    
Vardas479           Pavarde479          10   9    7    2    6    10   4    3    3    3    
Vardas480           Pavarde480          7    3    4    8    6    5    8    2    8    4    
Vardas481           Pavarde481          9    4    6    6    3    2    9    4    3    7    
Vardas482           Pavarde482          2    6    2    8    7    8    3    5    9    5    
Vardas483           Pavarde483          2    3    8    2    2    1    7    8    8    6    
Vardas484           Pavarde484          1    5    3    6    7    9    1    4    3    4    
Vardas485           Pavarde485          10   6    6    8    4    6    10   9    8    1    
Vardas486           Pavarde486          8    4    5    6    4    8    10   5    3    1    
Vardas487           Pavarde487          4    6    8    9    1    9    6    6    1    7    
Vardas488           Pavarde488          8    4    9    6    2    9    10   3    7    6    
Vardas489           Pavarde489          10   8    6    3    6    10   4    1    8    4    
Vardas490           Pavarde490          8    7    10   7    9    1    1    6    10   8    
Vardas491           Pavarde491          9    1    1    2    4    4    5    6    2    7    
Vardas492           Pavarde492          1    7    3    6    1    7    7    9    7    5    
Vardas493           Pavarde493          1    10   7    7    5    5    1    1    8    1    
Vardas494           Pavarde494          7    10   9    2    5    7    5    3    8    4    
Vardas495           Pavarde495          7    10   7    4    5    7    3    4    8    6    
Vardas496           Pavarde496          2    8    9    7    4    7    5    2    4    10   
Vardas497           Pavarde497          1    8    5    6    9    10   6    10   10   3    
Vardas498           Pavarde498          10   3    3    1    4    2    8    2    1    2    
Vardas499           Pavarde499          10   5    6    3    2    6    6    5    6    7    
Vardas500           Pavarde500          1    5    2    8    9    9    7    1    9    1    
Vardas501           Pavarde501          3    8    8    6    10   10   1    4    2    1    
Vardas502           Pavarde502          3    10   7    8    6    3    2    6    8    7    
Vardas503           Pavarde503          4    4    5    2    3    6    4    8    5    5    
Vardas504           Pavarde504          2    5    10   8    10   10   6    3    1    5    
Vardas505           Pavarde505          5    6    8    9    8    2    5    2    3    7    
Vardas506           Pavarde506          3    3    1    9    5    4    1    8    4    1    
Vardas507           Pavarde507          4    2    10   9    5    4    3    1    7    8    
Vardas508           Pavarde508          2    10   9    10   9    10   2    7    10   3    
Vardas509           Pavarde509          10   7    6    1    5    9    10   2    1    10   
Vardas510           Pavarde510          1    5    8    2    5    5    5    9    9    2    
Vardas511           Pavarde511          4    2    9    1    6    6    5    5    5    3    
Vardas512           Pavarde512          4    3    9    8    8    3    10   4    1    4    
Vardas513           Pavarde513          5    3    2    8    1    5    3    6    3    8    
Vardas514           Pavarde514          10   6    4    5    9    8    3    6    5    10   
Vardas515           Pavarde515          4    9    9    10   9    7    2    9    1    4    
Vardas516           Pavarde516          3    10   8    7    3    9    9    8    2    8    
Vardas517           Pavarde517          5    8    9    1    3    7    9    10   10   4    
Vardas518           Pavarde518          8    1    10   6    8    1    9    10   10   9    
Vardas519           Pavarde519          8    2    6    1    6    4    7    1    4    4    
Vardas520           Pavarde520          9    10   6    10   9    4    10   5    4    6    
Vardas521           Pavarde521          9    1    1    6    6    6    10   6    1    1    
Vardas522           Pavarde522          9    8    3    6    5    10   7    2    1    4    
Vardas523           Pavarde523          1    3    8    5    2    3    5    2    5    8    
Vardas524           Pavarde524          5    2    8    3    2    3    1    7    4    10   
Vardas525           Pavarde525          7    9    8    7    10   7    3    8    1    6    
Vardas526           Pavarde526          6    9    3    7    1    5    3    10   2    5    
Vardas527           Pavarde527          2    10   9    7    5    2    4    5    5    3    
Vardas528           Pavarde528          1    6    3    10   4    3    3    5    3    4    
Vardas529           Pavarde529          8    5    9    2    4    5    10   9    7    8    
Vardas530           Pavarde530          6    5    9    7    4    8    4    6    3    3    
Vardas531           Pavarde531          9    4    8    4    5    7    8    2    2    10   
Vardas532           Pavarde532          6    2    2    1    5    2    9    3    4    7    
Vardas533           Pavarde533          8    1    7    1    6    2    3    9    7    4    
Vardas534           Pavarde534          2    6    5    1    2    9    7    4    1    2    
Vardas535           Pavarde535          1    1    3    6    9    8    3    6    2    9    
Vardas536           Pavarde536          7    2    9    3    5    8    7    5    7    9    
Vardas537           Pavarde537          1    8    3    8    9    9    1    9    3    1    
Vardas538           Pavarde538          10   8    2    4    3    7    2    10   5    10   
Vardas539           Pavarde539          1    6    3    1    4    10   5    8    10   8    
Vardas540           Pavarde540          1    10   10   6    2    9    3    8    6    7    
Vardas541           Pavarde541          2    3    8    5    3    3    5    4    7    4    
Vardas542           Pavarde542          6    1    4    8    4    1    10   7    4    8    
Vardas543           Pavarde543          4    1    8    3    3    8    5    8    9    10   
Vardas544           Pavarde544          4    8    4    2    2    9    3    7    4    5    
Vardas545           Pavarde545          6    9    9    6    5    7    7    4    6    9    
Vardas546           Pavarde546          5    5    3    5    1    3    2    8    3    8    
Vardas547           Pavarde547          1    10   6    10   7    1    8    3    10   1    
Vardas548           Pavarde548          4    7    9    6    3    7    4    8    10   4    
Vardas549           Pavarde549          10   2    5    6    7    5    9    10   6    5    
Vardas550           Pavarde550          6    4    5    2    7    6    3    6    3    2    
Vardas551           Pavarde551          6    3    2    7    8    8    3    6    5    1    
Vardas552           Pavarde552          10   9    4    6    6    7    10   1    7    7    
Vardas553           Pavarde553          9    10   3    5    9    10   8    5    10   9    
Vardas554           Pavarde554          4    10   1    1    9    1    3    2    6    7    
Vardas555           Pavarde555          3    3    5    9    10   3    10   10   8    9    
Vardas556           Pavarde556          8    7    4    6    7    1    10   3    8    7    
Vardas557           Pavarde557          8    5    10   8    1    5    4    2    6    1    
Vardas558           Pavarde558          3    5    6    8    6    4    6    4    8    7    
Vardas559           Pavarde559          1    7    6    6    9    5    8    6    10   3    
Vardas560           Pavarde560          6    9    5    8    2    9    2    9    6    3    
Vardas561           Pavarde561          8    8    2    4    1    8    2    4    3    3    
Vardas562           Pavarde562          2    6    3    2    4    4    9    9    10   9    
Vardas563           Pavarde563          9    8    1    4    4    4    5    5    8    2    
Vardas564           Pavarde564          10   10   10   2    10   10   3    10   10   5    
Vardas565           Pavarde565          1    10   3    5    9    7    5    9    4    3    
Vardas566           Pavarde566          8    1    1    7    3    6    7    8    6    7    
Vardas567           Pavarde567          4    5    5    2    10   5    1    4    4    10   
Vardas568           Pavarde568          7    7    8    10   4    7    8    4    6    8    
Vardas569           Pavarde569          5    5    3    8    10   5    5    4    9    5    
Vardas570           Pavarde570          3    6    4    6    3    4    3    3    4    1    
Vardas571           Pavarde571          8    10   10   5    3    6    8    3    6    1    
Vardas572           Pavarde572          10   7    4    5    1    3    6    6    6    6    
Vardas573           Pavarde573          7    2    7    4    2    5    1    4    7    4    
Vardas574           Pavarde574          1    3    10   9    4    6    2    2    8    6    
Vardas575           Pavarde575          6    10   2    2    7    10   8    9    1    4    
Vardas576           Pavarde576          7    9    9    6    5    5    2    10   10   6    
Vardas577           Pavarde577          2    3    9    10   3    1    5    10   8    2    
Vardas578           Pavarde578          2    10   8    5    5    2    4    8    1    10   
Vardas579           Pavarde579          2    1    5    4    5    10   6    4    10   4    
Vardas580           Pavarde580          3    7    10   5    5    9    3    4    4    10   
Vardas581           Pavarde581          4    9    3    3    4    3    3    8    9    2    
Vardas582           Pavarde582          4    8    3    9    3    5    6    5    5    8    
Vardas583           Pavarde583          10   4    3    4    9    2    5    8    9    5    
Vardas584           Pavarde584          4    9    8    7    7    10   10   9    1    6    
Vardas585           Pavarde585          5    8    10   10   2    7    10   9    1    6    
Vardas586           Pavarde586          1    6    2    4    7    10   10   6    8    3    
Vardas587           Pavarde587          3    7    6    5    7    4    5    8    5    9    
Vardas588           Pavarde588          3    2    3    10   4    5    8    10   10   5    
Vardas589           Pavarde589          10   2    7    1    4    4    8    3    3    9    
Vardas590           Pavarde590          4    2    5    2    3    3    3    2    3    10   
Vardas591           Pavarde591          3    9    8    7    5    3    3    6    1    8    
Vardas592           Pavarde592          2    3    4    7    8    7    8    4    4    7    
Vardas593           Pavarde593          1    4    10   10   3    6    2    1    9    8    
Vardas594           Pavarde594          6    10   5    6    6    5    6    3    4    8    
Vardas595           Pavarde595          9    7    5    3    3    5    5    4    9    5    
Vardas596           Pavarde596          2    8    7    2    8    4    9    7    2    10   
Vardas597           Pavarde597          3    7    7    4    4    6    9    10   8    6    
Vardas598           Pavarde598          1    9    10   6    6    10   5    10   4    1    
Vardas599           Pavarde599          9    3    6    8    5    1    1    8    1    3    
Vardas600           Pavarde600          1    7    3    7    5    4    8    5    7    4    
Vardas601           Pavarde601          7    5    9    7    1    3    6    3    10   3    
Vardas602           Pavarde602          2    5    1    4    7    3    7    3    8    6    
Vardas603           Pavarde603          1    2    8    4    5    2    1    10   5    4    
Vardas604           Pavarde604          5    4    5    3    8    1    10   6    6    1    
Vardas605           Pavarde605          10   2    2    10   10   7    7    1    5    2    
Vardas606           Pavarde606          10   4    6    4    5    6    7    2    7    2    
Vardas607           Pavarde607          1    7    9    8    6    10   4    2    5    6    
Vardas608           Pavarde608          7    5    9    7    1    9    9    9    9    2    
Vardas609           Pavarde609          5    2    4    5    8    7    9    4    5    8    
Vardas610           Pavarde610          4    4    10   3    6    1    6    10   6    2    
Vardas611           Pavarde611          7    1    8    5    1    5    2    9    1    8    
Vardas612           Pavarde612          8    10   6    8    4    9    3    3    4    4    
Vardas613           Pavarde613          5    4    5    8    4    2    7    6    4    3    
Vardas614           Pavarde614          4    2    6    1    6    5    4    1    6    10   
Vardas615           Pavarde615          6    6    6    2    1    3    1    4    3    8    
Vardas616           Pavarde616          3    1    8    4    7    10   3    2    6    4    
Vardas617           Pavarde617          6    5    10   5    8    5    5    8    7    1    
Vardas618           Pavarde618          4    4    3    6    4    7    8    7    6    7    
Vardas619           Pavarde619          8    7    9    2    4    7    8    6    8    10   
Vardas620           Pavarde620          9    7    5    5    8    1    5    4    2    3    
Vardas621           Pavarde621          8    9    2    10   10   2    8    8    8    4    
Vardas622           Pavarde622          10   1    2    5    2    3    5    10   8    4    
Vardas623           Pavarde623          3    6    1    9    2    8    9    1    5    8    
Vardas624           Pavarde624          2    8    9    2    1    6    8    8    3    7    
Vardas625           Pavarde625          3    7    10   8    9    6    3    10   1    5    
Vardas626           Pavarde626          1    10   2    2    7    10   1    10   7    6    
Vardas627           Pavarde627          7    1    2    8    4    6    8    8    7    2    
Vardas628           Pavarde628          5    3    1    6    9    8    8    10   8    6    
Vardas629           Pavarde629          8    6    5    5    5    5    9    2    8    1    
Vardas630           Pavarde630          9    2    8    1    1    10   5    7    4    8    
Vardas631           Pavarde631          4    5    1    6    6    7    10   8    10   10   
Vardas632           Pavarde632          10   8    10   7    5    10   6    7    9    3    
Vardas633           Pavarde633          1    9    9    10   2    10   8    2    8    2    
Vardas634           Pavarde634          2    5    10   5    8    2    6    5    4    4    
Vardas635           Pavarde635          5    6    5    7    3    4    1    3    7    8    
Vardas636           Pavarde636          6    5    4    5    2    9    8    9    10   5    
Vardas637           Pavarde637          5    1    3    5    3    6    1    5    8    10   
Vardas638           Pavarde638          2    8    4    10   8    3    7    9    2    2    
Vardas639           Pavarde639          2    7    2    6    4    8    7    5    6    3    
Vardas640           Pavarde640          3    2    1    8    4    9    10   4    5    4    
Vardas641           Pavarde641          8    6    2    10   7    5    6    6    1    10   
Vardas642           Pavarde642          5    1    7    10   6    2    5    10   9    4    
Vardas643           Pavarde643          6    2    2    3    8    2    8    2    3    7    
Vardas644           Pavarde644          4    9    1    4    7    1    2    5    3    2    
Vardas645           Pavarde645          7    1    3    1    5    2    7    4    7    9    
Vardas646           Pavarde646          9    7    10   10   10   6    6    1    10   1    
Vardas647           Pavarde647          9    2    9    6    10   1    9    6    9    10   
Vardas648           Pavarde648          4    4    8    10   7    10   6    1    10   3    
Vardas649           Pavarde649          7    9    5    7    2    10   2    6    2    4    
Vardas650           Pavarde650          10   10   8    2    2    4    1    7    2    9    
Vardas651           Pavarde651          2    3    9    6    9    9    4    6    9    3    
Vardas652           Pavarde652          2    10   1    7    6    9    9    6    9    8    
Vardas653           Pavarde653          2    9    3    9    7    8    7    2    10   8    
Vardas654           Pavarde654          3    4    6    2    1    4    4    8    3    8    
Vardas655           Pavarde655          5    5    9    3    7    9    2    1    7    10   
Vardas656           Pavarde656          2    1    2    6    4    8    3    8    9    2    
Vardas657           Pavarde657          9    6    7    7    1    6    2    8    5    1    
Vardas658           Pavarde658          3    5    2    9    4    10   3    3    8    5    
Vardas659           Pavarde659          3    5    2    4    8    2    6    5    5    6    
Vardas660           Pavarde660          1    1    2    8    2    1    10   3    1    3    
Vardas661           Pavarde661          7    9    10   9    6    6    1    6    2    4    
Vardas662           Pavarde662          4    7    10   1    8    3    1    1    6    2    
Vardas663           Pavarde663          4    3    6    6    6    8    2    6    8    5    
Vardas664           Pavarde664          7    3    3    5    7    9    8    2    3    4    
Vardas665           Pavarde665          4    10   9    10   8    6    1    4    5    9    
Vardas666           Pavarde666          2    7    4    7    7    1    2    10   8    8    
Vardas667           Pavarde667          7    9    9    4    5    10   8    9    2    9    
Vardas668           Pavarde668          4    3    5    10   2    8    2    9    5    6    
Vardas669           Pavarde669          3    7    9    2    6    6    8    6    6    9    
Vardas670           Pavarde670          6    10   7    7    2    2    8    8    3    10   
Vardas671           Pavarde671          9    10   9    1    10   3    5    9    5    3    
Vardas672           Pavarde672          9    6    7    9    5    3    8    1    1    4    
Vardas673           Pavarde673          3    3    9    6    10   7    5    6    6    3    
Vardas674           Pavarde674          7    7    5    1    3    4    9    4    1    1    
Vardas675           Pavarde675          4    8    8    4    6    3    3    3    3    10   
Vardas676           Pavarde676          6    8    3    5    4    9    4    4    1    7    
Vardas677           Pavarde677          9    8    7    4    3    8    2    8    4    5    
Vardas678           Pavarde678          8    1    8    4    7    1    7    8    9    5    
Vardas679           Pavarde679          3    2    10   7    2    5    6    8    6    4    
Vardas680           Pavarde680          4    2    9    5    9    6    9    10   3    1    
Vardas681           Pavarde681          3    2    1    3    7    1    9    6    10   1    
Vardas682           Pavarde682          2    2    5    9    9    4    6    7    2    9    
Vardas683           Pavarde683          8    3    1    5    4    2    8    2    3    8    
Vardas684           Pavarde684          4    5    2    7    6    7    8    3    7    7    
Vardas685           Pavarde685          5    10   7    4    5    9    5    5    3    10   
Vardas686           Pavarde686          9    9    5    8    9    10   2    10   8    3    
Vardas687           Pavarde687          5    7    4    7    10   6    6    1    1    9    
Vardas688           Pavarde688          4    5    5    9    1    5    2    5    8    2    
Vardas689           Pavarde689          4    8    4    1    5    6    3    6    8    8    
Vardas690           Pavarde690          10   1    3    1    3    10   4    5    4    4    
Vardas691           Pavarde691          2    6    10   5    4    10   1    6    2    7    
Vardas692           Pavarde692          5    2    5    10   9    6    5    5    4    2    
Vardas693           Pavarde693          4    6    2    4    6    6    6    9    10   8    
Vardas694           Pavarde694          1    1    5    10   6    5    7    5    9    4    
Vardas695           Pavarde695          10   6    6    10   1    6    3    8    1    1    
Vardas696           Pavarde696          9    4    9    4    7    9    2    10   10   4    
Vardas697           Pavarde697          9    10   8    3    10   1    10   1    4    6    
Vardas698           Pavarde698          6    1    6    6    10   2    7    4    1    1    
Vardas699           Pavarde699          7    6    9    7    10   4    10   3    2    7    
Vardas700           Pavarde700          2    2    5    8    4    2    1    4    2    2    
Vardas701           Pavarde701          2    1    8    10   7    5    3    7    7    9    
Vardas702           Pavarde702          2    2    6    2    2    2    9    6    9    4    
Vardas703           Pavarde703          1    8    9    1    6    8    2    2    6    1    
Vardas704           Pavarde704          7    9    1    1    6    2    7    6    10   4    
Vardas705           Pavarde705          9    3    3    10   8    1    1    9    2    3    
Vardas706           Pavarde706          3    7    9    7    4    4    8    6    4    4    
Vardas707           Pavarde707          9    8    4    5    3    1    8    3    6    5    
Vardas708           Pavarde708          6    5    1    4    7    8    2    3    6    3    
Vardas709           Pavarde709          9    4    8    9    6    4    4    4    1    9    
Vardas710           Pavarde710          3    9    1    6    5    7    3    2    3    6    
Vardas711           Pavarde711          10   2    6    9    3    3    9    10   2    4    
Vardas712           Pavarde712          10   5    8    5    1    2    7    5    3    1    
Vardas713           Pavarde713          7    5    10   1    10   3    8    1    5    2    
Vardas714           Pavarde714          2    2    1    10   1    1    8    6    3    6    
Vardas715           Pavarde715          9    8    7    1    8    4    8    5    3    1    
Vardas716           Pavarde716          8    10   9    8    2    7    2    9    4    1    
Vardas717           Pavarde717          4    6    1    3    2    3    6    5    7    9    
Vardas718           Pavarde718          10   6    1    1    2    6    5    6    2    7    
Vardas719           Pavarde719          10   8    8    7    7    1    4    4    5    3    
Vardas720           Pavarde720          7    4    2    8    9    10   5    5    10   2    
Vardas721           Pavarde721          8    5    10   2    2    4    4    9    10   5    
Vardas722           Pavarde722          8    6    5    6    8    9    2    8    1    8    
Vardas723           Pavarde723          7    6    6    3    6    4    4    4    5    1    
Vardas724           Pavarde724          3    3    4    2    6    2    3    8    7    4    
Vardas725           Pavarde725          1    3    9    2    8    6    1    1    7    1    
Vardas726           Pavarde726          2    2    4    10   6    2    8    1    1    7    
Vardas727           Pavarde727          2    5    6    4    7    5    6    6    9    3    
Vardas728           Pavarde728          10   5    3    1    4    8    7    3    2    5    
Vardas729           Pavarde729          4    3    1    7    4    5    4    4    2    3    
Vardas730           Pavarde730          6    7    1    10   3    1    1    10   10   2    
Vardas731           Pavarde731          6    1    1    9    6    9    6    7    6    1    
Vardas732           Pavarde732          6    8    1    10   5    1    6    1    9    2    
Vardas733           Pavarde733          2    10   6    9    4    4    8    5    2    5    
Vardas734           Pavarde734          2    2    5    3    1    1    8    5    4    10   
Vardas735           Pavarde735          5    10   1    3    10   5    7    1    2    2    
Vardas736           Pavarde736          8    8    2    6    8    2    3    9    2    1    
Vardas737           Pavarde737          2    5    3    7    2    1    6    2    6    8    
Vardas738           Pavarde738          8    6    4    9    10   2    7    2    4    10   
Vardas739           Pavarde739          4    7    10   3    3    8    9    5    9    2    
Vardas740           Pavarde740          2    4    4    2    7    2    8    7    1    3    
Vardas741           Pavarde741          8    10   5    9    3    8    3    8    5    7    
Vardas742           Pavarde742          7    10   7    9    1    10   10   5    6    9    
Vardas743           Pavarde743          8    1    4    2    4    5    6    6    7    3    
Vardas744           Pavarde744          5    2    1    8    4    7    6    1    8    6    
Vardas745           Pavarde745          10   5    7    9    5    2    6    9    7    5    
Vardas746           Pavarde746          9    10   5    10   10   9    7    10   7    9    
Vardas747           Pavarde747          4    10   10   7    4    6    6    7    7    8    
Vardas748           Pavarde748          4    10   2    4    5    8    10   8    7    7    
Vardas749           Pavarde749          5    4    3    6    8    6    3    7    8    1    
Vardas750           Pavarde750          4    7    4    3    10   1    9    2    2    2    
Vardas751           Pavarde751          3    10   10   6    9    6    10   2    4    10   
Vardas752           Pavarde752          10   8    10   6    8    2    10   6    5    4    
Vardas753           Pavarde753          1    9    6    5    3    6    10   7    1    9    
Vardas754           Pavarde754          1    8    10   10   8    7    3    8    3    2    
Vardas755           Pavarde755          4    10   4    7    4    2    9    5    5    9    
Vardas756           Pavarde756          7    10   2    10   4    4    10   1    8    1    
Vardas757           Pavarde757          9    7    10   2    10   10   6    8    6    7    
Vardas758           Pavarde758          4    10   8    4    4    5    7    5    4    7    
Vardas759           Pavarde759          3    8    8    1    3    6    10   7    7    2    
Vardas760           Pavarde760          7    4    8    9    9    3    1    2    9    10   
Vardas761           Pavarde761          4    2    4    4    2    5    8    2    5    6    
Vardas762           Pavarde762          4    5    2    6    7    7    2    4    2    6    
Vardas763           Pavarde763          3    2    8    7    7    7    3    7    5    2    
Vardas764           Pavarde764          9    2    1    5    4    4    9    7    4    9    
Vardas765           Pavarde765          9    2    4    2    4    10   1    2    2    6    
Vardas766           Pavarde766          7    9    6    10   8    10   8    1    6    1    
Vardas767           Pavarde767          9    9    9    2    7    8    5    10   9    6    
Vardas768           Pavarde768          5    8    1    4    6    4    8    5    1    3    
Vardas769           Pavarde769          2    10   5    2    6    4    4    7    6    6    
Vardas770           Pavarde770          6    8    4    10   10   8    8    9    8    6    
Vardas771           Pavarde771          8    5    7    6    4    3    1    8    9    4    
Vardas772           Pavarde772          8    9    2    9    9    3    3    6    7    1    
Vardas773           Pavarde773          9    6    2    8    2    10   3    9    9    2    
Vardas774           Pavarde774          8    2    6    2    3    6    4    6    1    4    
Vardas775           Pavarde775          5    5    2    3    5    10   8    4    5    8    
Vardas776           Pavarde776          10   5    7    1    1    10   8    8    9    8    
Vardas777           Pavarde777          8    8    4    6    3    8    4    4    6    10   
Vardas778           Pavarde778          5    7    9    6    4    7    3    7    3    9    
Vardas779           Pavarde779          10   5    10   8    6    6    2    2    6    3    
Vardas780           Pavarde780          3    3    1    7    4    2    6    5    1    9    
Vardas781           Pavarde781          8    1    9    2    3    7    7    2    2    10   
Vardas782           Pavarde782          1    2    10   5    1    7    6    7    6    7    
Vardas783           Pavarde783          2    8    8    1    2    5    1    8    6    3    
Vardas784           Pavarde784          9    8    10   5    6    1    3    9    6    4    
Vardas785           Pavarde785          4    3    1    7    10   2    4    6    3    6    
Vardas786           Pavarde786          3    6    4    10   7    7    9    4    1    10   
Vardas787           Pavarde787          3    3    1    9    1    9    9    1    3    3    
Vardas788           Pavarde788          10   3    1    4    6    3    10   5    6    9    
Vardas789           Pavarde789          5    6    4    3    4    2    8    3    9    1    
Vardas790           Pavarde790          6    10   10   1    10   7    6    1    7    3    
Vardas791           Pavarde791          5    7    10   9    2    10   7    1    2    1    
Vardas792           Pavarde792          4    5    10   7    4    3    10   2    4    8    
Vardas793           Pavarde793          5    7    1    5    9    2    6    1    9    7    
Vardas794           Pavarde794          1    7    8    5    5    5    5    8    4    2    
Vardas795           Pavarde795          8    6    1    5    6    8    9    10   9    4    
Vardas796           Pavarde796          1    1    5    5    7    8    10   8    8    5    
Vardas797           Pavarde797          7    4    9    1    10   7    6    7    3    6    
Vardas798           Pavarde798          4    4    10   8    6    2    8    9    1    3    
Vardas799           Pavarde799          1    7    3    6    4    10   6    3    7    1    
Vardas800           Pavarde800          8    2    2    4    10   3    6    4    9    7    
